Time_s,FrameCount,X_px,Y_px,Amp_X,Freq_Hz,FPS
0.0000,1,,,,,30.00
0.1083,2,,,,,27.85
0.1426,3,,,,,29.18
0.1794,4,,,,,28.98
0.2437,5,,,,,26.92
0.3060,6,,,,,31.30
0.3352,7,,,,,32.72
0.4251,8,,,,,30.34
0.4473,9,,,,,33.55
0.4886,10,,,,,33.28
0.5167,11,,,,,34.72
0.5544,12,,,,,32.90
0.6097,13,,,,,31.21
0.6396,14,,,,,34.41
0.6825,15,,,,,34.29
0.7765,16,,,,,31.70
0.8071,17,,,,,68.71
0.8538,18,,,,,63.98
0.8909,19,,,,,60.20
0.9309,20,,,,,55.82
1.0111,21,,,,,51.67
1.0467,22,,,,,49.57
1.0912,23,,,,,45.46
1.1786,24,,,,,49.61
1.2122,25,,,,,47.53
1.3205,26,,,,,43.70
1.3341,27,,,,,47.27
1.3702,28,,,,,45.38
1.4487,29,,,,,41.76
1.4916,30,,,,,48.44
1.5218,31,,,,,46.14
1.5840,32,,,,,42.46
1.6414,33,,,,,41.21
1.6906,34,,,,,38.89
1.7678,35,,,,,35.94
1.8090,36,,,,,51.00
1.8486,37,,,,,48.42
1.9335,38,,,,,44.42
1.9728,39,,,,,59.06
2.0211,40,,,,,55.18
2.0890,41,,,,,50.67
2.1281,42,,,,,53.99
2.1611,43,,,,,51.35
2.1956,44,,,,,47.10
2.2853,45,,,,,49.85
2.3188,46,,,,,47.92
2.3546,47,,,,,44.00
2.4483,48,,,,,58.99
2.4963,49,,,,,55.13
2.5368,50,,,,,50.58
2.6081,51,,,,,60.78
2.6559,52,,,,,56.76
2.7186,53,,,,,52.02
2.7682,54,,,,,54.54
2.8021,55,,,,,53.08
2.8637,56,,,,,48.58
2.9308,57,,,,,52.44
2.9646,58,,,,,49.95
3.0489,59,,,,,45.91
3.0836,60,,,,,50.47
3.1169,61,,,,,48.17
3.1845,62,,,,,44.20
3.2472,63,,,,,47.87
3.2815,64,,,,,45.85
3.3306,65,,,,,42.23
3.4010,66,,,,,46.32
3.4362,67,,,,,44.90
3.5610,68,,,,,41.19
3.5894,69,,,,,40.23
3.6272,70,,,,,37.06
3.7328,71,,,,,37.58
3.7679,72,,,,,37.36
3.8486,73,,,,,34.49
3.8882,74,,,,,38.45
3.9222,75,,,,,37.43
4.0240,76,,,,,34.61
4.0498,77,,,,,47.29
4.0957,78,,,,,44.65
4.1687,79,,,,,41.18
4.2042,80,,,,,46.47
4.2417,81,,,,,44.35
4.2868,82,,,,,40.78
4.3676,83,,,,,45.33
4.4008,84,,,,,44.84
4.4546,85,,,,,41.19
4.5255,86,,,,,43.05
4.5616,87,,,,,42.58
4.6260,88,,,,,39.14
4.6878,89,,,,,42.18
4.7247,90,,,,,41.16
4.8092,91,,,,,37.92
4.8483,92,,,,,66.24
4.8933,93,,,,,61.78
4.9703,94,,,,,56.48
5.0137,95,,,,,58.01
5.0495,96,,,,,55.60
5.1274,97,,,,,50.99
5.1632,98,,,,,52.98
5.1962,99,,,,,51.29
5.2410,100,,,,,47.09
5.3193,101,,,,,50.88
5.3638,102,,,,,48.03
5.4250,103,,,,,44.21
5.4735,104,,,,,45.23
5.5060,105,,,,,45.25
5.5509,106,,,,,41.66
5.6149,107,,,,,45.28
5.6488,108,,,,,45.04
5.6911,109,,,,,41.31
5.7953,110,,,,,40.78
5.8295,111,,,,,39.85
5.8897,112,,,,,36.72
5.9568,113,,,,,39.74
5.9926,114,,,,,39.11
6.0476,115,,,,,36.10
6.1122,116,,,,,37.97
6.1479,117,,,,,39.24
6.1927,118,,,,,36.15
6.2718,119,,,,,40.07
6.3059,120,,,,,39.26
6.3582,121,,,,,36.14
6.4390,122,,,,,45.23
6.4835,123,,,,,43.27
6.5634,124,,,,,39.86
6.6016,125,,,,,42.00
6.6336,126,,,,,41.60
6.6969,127,,,,,38.33
6.7542,128,,,,,42.57
6.7871,129,,,,,41.05
6.8718,130,,,,,37.82
6.9122,131,,,,,38.97
6.9463,132,,,,,39.51
6.9981,133,,,,,36.45
7.0701,134,,,,,40.51
7.1061,135,,,,,39.53
7.1531,136,,,,,36.54
7.2240,137,,,,,39.34
7.2587,138,,,,,38.52
7.3369,139,,,,,35.57
7.3782,140,,,,,60.91
7.4147,141,,,,,57.33
7.4649,142,,,,,52.43
7.5439,143,,,,,54.43
7.5780,144,,,,,52.28
7.6296,145,,,,,47.97
