Time_s,FrameCount,X_px,Y_px,Amp_X,Freq_Hz,FPS
7.6729,147,445.5530035335689,417.31007067137807,,,37.37
7.7117,148,421.40880039331364,416.6366764995083,,,37.54
7.7778,149,421.40880039331364,416.6366764995083,,,34.59
7.8470,150,339.4103795153178,411.9702789208962,479.7803454589759,,35.28
7.8816,151,322.1696025293586,410.99819331526646,,,36.51
7.9391,152,306.8338833883388,410.34191419141916,,,33.68
8.0164,153,282.3615115771079,408.9724770642202,,,36.15
8.0533,154,262.9078807241747,406.3248136315229,,,36.55
8.1123,155,262.9078807241747,406.3248136315229,479.7803454589759,,33.66
8.1939,156,257.9486133768352,405.3833605220228,,,40.76
8.2354,157,266.16029007251814,407.6146536634159,,,39.10
8.3448,158,274.5412406271302,408.5925925925926,,,36.00
8.3732,159,293.4682698730795,409.7243375640169,,,35.86
8.4072,160,318.8863049095607,410.6713648108997,479.7803454589759,,37.26
8.4627,161,334.01765157329237,411.2519826042466,,,34.32
8.5364,162,372.7928334838904,414.26648599819333,,,36.88
8.5710,163,419.64608719198486,417.0208502572434,,,36.48
8.6051,164,444.21300813008133,417.93739837398374,,,37.46
8.6718,165,444.21300813008133,417.93739837398374,479.7803454589759,,34.64
8.7180,166,523.6814924635532,420.18211020509017,,,38.51
8.7534,167,552.9938420348059,420.87951807228916,,,38.53
8.8089,168,582.8665559246954,421.1207087486157,,,35.39
8.9035,169,695.7440597420231,420.35947046843177,,,36.32
8.9370,170,695.7440597420231,420.35947046843177,479.7803454589759,,37.70
8.9846,171,695.7440597420231,420.35947046843177,,,34.76
9.0568,172,827.7321142123837,415.2409367982034,,,34.29
9.0914,173,849.003144654088,413.3459119496855,,,33.75
9.1526,174,849.003144654088,413.3459119496855,,,31.16
9.2224,175,889.1741741741741,410.8885885885886,479.7803454589759,,34.51
9.2574,176,937.1285551763367,407.037827076223,,,35.49
9.3127,177,937.1285551763367,407.037827076223,,,32.70
9.3925,178,966.407037960654,404.41535051260735,,,34.64
9.4324,179,978.4977362761742,403.1926994906621,,,35.19
9.4862,180,982.4254173397953,402.843295638126,479.7803454589759,,32.48
9.5724,181,981.8607969843833,402.49703823371027,,,33.59
9.6058,182,973.7446170618697,403.2068683565004,,,34.11
9.6654,183,967.5962596259626,404.1537403740374,,,31.58
9.7205,184,950.3748967795211,405.77897054775667,,,34.34
9.7595,185,950.3748967795211,405.77897054775667,483.5469568267384,,34.84
9.8323,186,923.9592684954281,407.74341922970353,,,32.23
9.8877,187,871.9803139132748,411.71827613727055,,,34.72
9.9218,188,851.6410256410256,412.88406983087833,,,34.61
9.9776,189,830.294708994709,414.4026455026455,,,31.98
10.0482,190,753.3573525487056,417.5727248465439,500.1122978717395,0.36183330424671273,33.55
10.0928,191,723.968948035488,418.6615969581749,,,33.55
10.1515,192,699.0766587364526,419.3513084853291,,,31.03
10.2228,193,611.8146832445234,420.22824156305506,,,33.58
10.2562,194,581.9490392648288,420.37092731829574,,,34.12
10.3284,195,553.4183109707972,420.14969744804,500.1122978717395,0.36183330424671273,31.55
10.3855,196,498.77247924080666,419.2391459074733,,,33.77
10.4184,197,446.20775320775317,417.5801255801256,,,34.37
10.5195,198,399.19459888800634,415.53296266878476,,,31.79
10.5425,199,376.1240310077519,414.1632908227057,,,33.29
10.5764,200,338.5230484132499,411.8538336807968,500.1122978717395,0.36183330424671273,33.84
10.6411,201,308.46085164835165,410.2110805860806,,,31.31
10.7126,202,284.1387591727819,408.9937736268623,,,32.84
10.7423,203,275.02180468568775,408.2695430294595,,,32.84
10.7699,204,267.63521545319463,407.587171867261,,,35.92
10.8323,205,262.58479532163744,406.56911217437533,500.1122978717395,0.36183330424671273,33.26
10.8787,206,259.5849944629014,406.03682170542635,,,37.14
10.9132,207,260.6103513006168,405.917940466613,,,36.73
10.9761,208,260.6103513006168,405.917940466613,,,33.90
11.0383,209,283.97704194260484,409.38697571743927,,,36.73
11.0761,210,294.9788499669531,409.595946243666,500.1122978717395,0.36183330424671273,36.26
11.1126,211,308.2632524707996,410.51370170709794,,,33.42
11.2176,212,353.4881050041017,413.59201531309816,,,40.09
11.2601,213,396.1175778953557,416.05820105820106,,,38.70
11.3366,214,396.1175778953557,416.05820105820106,,,35.69
11.3864,215,472.131217838765,418.9539736992567,500.1122978717395,0.36183330424671273,38.83
11.4284,216,525.5077366902701,420.100183582481,,,37.70
11.4963,217,525.5077366902701,420.100183582481,,,34.77
11.5563,218,582.6923956546598,421.17753001715266,,,34.65
11.5885,219,670.5570556091288,419.81677917068464,,,41.15
11.6406,220,670.5570556091288,419.81677917068464,500.1122978717395,0.36183330424671273,37.84
11.7206,221,752.2913165266107,418.4933084344849,,,38.21
11.7618,222,752.2913165266107,418.4933084344849,,,37.93
11.7937,223,804.2229953611663,415.9807819748178,,,34.93
11.8898,224,888.5236777367774,411.16051660516604,,,34.44
11.9260,225,905.4544895448954,409.6236162361624,500.1122978717395,0.36183330424671273,33.22
11.9873,226,905.4544895448954,409.6236162361624,,,30.68
12.0705,227,958.4876335019674,404.96233839235526,,,34.69
12.1105,228,966.0101954120646,404.23364485981307,,,34.16
12.1754,229,966.0101954120646,404.23364485981307,,,31.53
12.2394,230,979.8292325717633,403.16783831282953,500.1122978717395,0.36183330424671273,34.59
12.2882,231,980.9157779600765,402.89089417555374,,,33.85
12.3756,232,978.1942887643448,402.6949559647718,,,31.26
12.4208,233,957.8685258964143,404.6252324037184,,,39.77
12.4796,234,936.3907038512616,406.74741035856573,,,36.50
12.5778,235,888.6933663638865,409.9587118084228,500.1122978717395,0.36183330424671273,37.97
