Time_s,FrameCount,X_px,Y_px,Amp_X,Freq_Hz,FPS
7.9194,154,798.0808982683983,416.6193181818182,,,52.09
7.9962,155,745.7055606198724,419.614099058037,485.48180142176875,,53.36
8.0386,156,691.4769433465085,420.0349143610013,,,51.24
8.1453,157,664.2044214757393,420.39161642262417,,,46.99
8.1781,158,572.5266609637868,420.695751354434,,,45.18
8.2127,159,545.7531806615776,420.3702290076336,,,44.76
8.2821,160,545.7531806615775,420.3702290076336,485.48180142176875,,41.42
8.3329,161,466.5148514851485,417.4899720741305,,,40.42
8.3670,162,412.03181683021114,415.55367231638417,,,39.00
8.4123,163,412.03181683021114,415.55367231638417,,,35.87
8.5063,164,370.9788849347568,413.28896797153027,,,37.64
8.5417,165,318.2659330582302,409.66162310866576,485.48180142176875,,37.25
8.5876,166,303.1877523553163,408.5316285329744,,,34.36
8.6774,167,273.0735259572469,407.2271552736669,,,37.94
8.7117,168,267.01641025641027,406.0020512820513,,,37.15
8.8205,169,262.5511789924973,404.9021972132905,,,34.16
8.8603,170,258.72,404.77163120567377,485.48180142176875,,37.95
8.8972,171,262.7774011299435,405.07570621468926,,,37.09
8.9427,172,270.1463714637146,406.4912669126691,,,34.29
9.0136,173,298.7359307359307,408.6899065846434,,,37.13
9.0543,174,298.7359307359307,408.6899065846434,,,37.45
9.1039,175,324.5525215252152,409.74194341943416,485.48180142176875,,34.61
9.1781,176,381.5787037037037,413.7358024691358,,,35.03
9.2034,177,406.11148459383753,414.77282913165266,,,36.39
9.2536,178,406.11148459383753,414.77282913165266,,,33.59
9.3379,179,477.536826783115,418.7088791848617,,,36.07
9.3708,180,533.7881059470265,419.73088455772114,485.48180142176875,,36.65
9.4454,181,533.7881059470265,419.73088455772114,,,33.87
9.4981,182,620.3457249070632,420.67719950433707,,,36.73
9.5360,183,676.4391785150078,420.34470774091625,,,35.86
9.5848,184,676.4391785150078,420.34470774091625,,,33.16
9.6565,185,733.3656462585034,419.5010204081633,485.48180142176875,,35.66
9.6867,186,787.6490693739424,417.7177664974619,,,36.07
9.7405,187,812.631931166348,416.90758444869346,,,33.35
9.8044,188,875.7134071340713,413.1263837638376,,,36.24
9.8386,189,875.7134071340713,413.1263837638376,,,38.15
9.9153,190,875.7134071340713,413.1263837638376,485.48180142176875,,35.09
9.9787,191,952.4800910125142,407.08731513083046,,,35.82
10.0166,192,961.2776238842721,406.41705140043086,,,36.71
10.0769,193,970.0964692799555,405.44147901028634,,,33.95
10.1265,194,984.2905349794239,403.9489711934157,,,36.92
10.1604,195,984.5828586927041,404.12340656360186,485.48180142176875,,36.45
10.2297,196,984.5828586927041,404.12340656360186,,,33.75
10.2857,197,973.3198011599006,405.86302126484395,,,35.72
10.3245,198,966.8831529281155,405.98168193172353,,,35.27
10.4206,199,958.981586785811,406.89006227998914,,,32.60
10.4474,200,935.1456769530164,408.09924937447875,490.3935017186027,,33.80
10.4836,201,902.9830130882763,411.078529657477,,,34.52
10.5409,202,885.1675717610551,412.3597103697957,,,31.96
10.6051,203,822.8450070323488,415.9772151898734,,,31.76
10.6491,204,822.8450070323488,415.9772151898734,,,30.80
10.7168,205,772.0356492323706,417.9726775956284,501.9802079158296,0.3739407007269205,28.59
10.7678,206,743.0015124016938,418.6911675741077,,,30.40
10.8045,207,660.8910761154855,420.23687664041995,,,31.81
10.8697,208,660.8910761154855,420.23687664041995,,,29.52
10.9254,209,573.4785450412048,420.31031543052006,,,39.37
10.9724,210,517.4779086892489,418.9084437898871,501.9802079158296,0.3739407007269205,37.67
11.0453,211,517.4779086892489,418.9084437898871,,,34.80
11.0844,212,440.1693376068376,416.39289529914527,,,36.19
11.1233,213,414.24681933842237,415.5744981622844,,,36.80
11.1896,214,391.95901060070673,414.0428739693757,,,33.95
11.2536,215,351.13032042085126,411.5894308943089,501.9802079158296,0.3739407007269205,43.32
11.2882,216,318.93560057887123,409.4517607332368,,,41.70
11.3433,217,304.92754598474653,408.44751009421265,,,38.35
11.4208,218,273.4370736297342,407.11338508586215,,,41.16
11.4567,219,273.4370736297342,407.11338508586215,,,40.35
11.5393,220,263.0370675453048,405.19028006589787,501.9802079158296,0.3739407007269205,37.15
11.5914,221,262.4368094853139,405.0420371867421,,,38.71
11.6242,222,265.61514441842314,405.57012750455374,,,38.66
11.6766,223,271.34297421065315,406.71077368040494,,,35.79
11.7375,224,300.323291857673,408.9109364767518,,,36.77
11.7617,225,313.943537414966,409.35238095238094,501.9802079158296,0.3739407007269205,36.82
11.7964,226,313.943537414966,409.35238095238094,,,37.51
11.8518,227,327.84901531728667,410.08874300996837,,,34.58
11.9283,228,382.3062689864678,414.43413421706714,,,38.39
11.9608,229,405.16697360343767,415.6003683241252,,,38.02
12.0135,230,430.31070287539933,416.84797657082004,501.9802079158296,0.3739407007269205,35.11
12.0862,231,506.4868568232662,419.332774049217,,,36.92
12.1265,232,535.1723762914628,420.4486133768352,,,36.05
12.1820,233,562.9526899161935,420.56961340902944,,,33.31
12.2453,234,622.9009180120291,421.3187717632162,,,34.23
12.2892,235,679.7965079365079,420.40285714285716,501.9802079158296,0.3739407007269205,34.19
12.3581,236,707.046421663443,420.14990328820113,,,31.63
12.4175,237,761.1750334672022,418.803547523427,,,37.39
12.4508,238,813.1570141570141,416.57142857142856,,,36.46
12.5322,239,857.2999080036799,414.067463968108,,,33.78
12.5818,240,895.3416965352449,411.59826762246115,501.9802079158296,0.3739407007269205,36.64
12.6191,241,913.1435502283105,410.70005707762556,,,35.20
12.6817,242,913.1435502283105,410.70005707762556,,,32.60
12.7352,243,962.1589479702687,406.3013150371641,,,34.04
12.7700,244,969.1678062678062,405.4595441595442,,,34.56
12.8378,245,969.1678062678062,405.4595441595442,501.9802079158296,0.3739407007269205,31.95
12.9042,246,982.9023986765922,404.26220016542595,,,34.45
12.9392,247,982.1841453344343,404.50426644646296,,,35.22
12.9937,248,978.1388004246285,404.7393842887474,,,32.66
13.0606,249,971.8909040945315,405.62352294586424,,,33.31
